Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
1322,34,Private Sector/Self Employed,Yes,1050000,6,0,No,No,1
1021,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,1
989,33,Government Sector,Yes,400000,7,1,No,No,1
878,26,Private Sector/Self Employed,Yes,600000,4,0,No,No,0
715,28,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1411,29,Private Sector/Self Employed,Yes,1200000,3,1,No,No,1
1835,31,Government Sector,No,400000,5,0,No,No,0
1815,33,Private Sector/Self Employed,Yes,550000,3,1,No,No,1
180,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0
143,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0
993,34,Private Sector/Self Employed,Yes,700000,2,0,Yes,No,0
1825,29,Private Sector/Self Employed,Yes,600000,6,0,No,No,0
1195,31,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
136,29,Private Sector/Self Employed,Yes,500000,6,0,No,No,1
521,28,Private Sector/Self Employed,Yes,1100000,6,0,No,No,0
1745,34,Private Sector/Self Employed,Yes,850000,4,0,No,Yes,0
875,29,Private Sector/Self Employed,Yes,600000,3,1,No,No,0
1659,29,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
1960,28,Government Sector,Yes,300000,6,0,No,No,1
624,34,Private Sector/Self Employed,Yes,1000000,9,0,No,No,0
1689,27,Government Sector,Yes,500000,5,0,No,No,0
951,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1866,28,Government Sector,Yes,300000,7,1,No,No,0
331,33,Private Sector/Self Employed,Yes,550000,4,0,No,No,1
362,28,Private Sector/Self Employed,Yes,700000,2,1,No,No,0
358,34,Private Sector/Self Employed,Yes,1000000,5,0,Yes,No,0
864,26,Private Sector/Self Employed,Yes,600000,6,0,Yes,No,0
1390,32,Government Sector,Yes,900000,5,0,No,No,0
168,27,Government Sector,Yes,850000,7,1,No,No,0
216,34,Private Sector/Self Employed,Yes,1050000,8,0,No,No,1
883,28,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,1
1297,28,Government Sector,Yes,300000,4,0,No,No,0
859,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
466,28,Private Sector/Self Employed,Yes,550000,4,0,No,No,0
1632,32,Government Sector,Yes,800000,7,0,No,No,0
1724,28,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,1
17,28,Private Sector/Self Employed,Yes,800000,7,0,No,No,1
691,31,Private Sector/Self Employed,Yes,950000,3,0,Yes,No,0
1699,28,Private Sector/Self Employed,Yes,700000,3,0,No,No,1
1886,32,Government Sector,Yes,350000,6,0,No,No,0
1334,25,Government Sector,Yes,750000,3,0,No,Yes,1
1674,34,Private Sector/Self Employed,No,950000,3,0,Yes,No,0
285,33,Private Sector/Self Employed,Yes,750000,4,0,No,No,0
63,27,Government Sector,Yes,500000,2,0,No,No,0
1104,34,Private Sector/Self Employed,Yes,1000000,5,0,No,No,0
1972,28,Private Sector/Self Employed,Yes,800000,5,1,No,No,0
457,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
623,28,Private Sector/Self Employed,Yes,1100000,3,0,No,No,0
1802,31,Government Sector,Yes,400000,6,0,No,No,0
1491,26,Private Sector/Self Employed,Yes,1400000,7,1,Yes,Yes,1
1326,34,Private Sector/Self Employed,Yes,700000,5,0,No,No,0
544,31,Government Sector,No,400000,3,0,No,No,0
558,34,Private Sector/Self Employed,Yes,850000,3,1,No,No,0
1123,25,Private Sector/Self Employed,Yes,1800000,6,1,Yes,No,1
607,28,Private Sector/Self Employed,Yes,550000,8,1,No,No,0
338,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,0
452,34,Private Sector/Self Employed,Yes,1300000,4,1,No,No,1
346,25,Private Sector/Self Employed,Yes,1800000,7,1,Yes,No,1
1684,26,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,1
655,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,0
153,25,Private Sector/Self Employed,No,600000,5,0,Yes,No,0
1648,28,Private Sector/Self Employed,Yes,1100000,5,0,No,No,0
1503,29,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
536,30,Private Sector/Self Employed,No,500000,3,0,No,No,0
1891,28,Private Sector/Self Employed,Yes,800000,7,1,No,No,1
10,31,Government Sector,Yes,400000,9,1,No,No,0
